job_title,agency,years_experience,annual_salary
Social Worker,Department of Education,30,93643.55
Community Liaison,Health Department,26,80059.28
HR Specialist,Public Works,10,71245.7
Project Manager,Department of Housing,37,133949.69
IT Specialist,Department of Finance,4,88856.09
Social Worker,City Council,7,64246.56
Inspector,Office of the Mayor,33,100309.25
Project Manager,Department of Education,11,100010.95
Project Manager,Department of Education,37,130902.99
Data Analyst,City Council,0,78054.12
IT Specialist,Department of Housing,30,111720.86
Engineer,Department of Aging,3,90944.09
Firefighter,Health Department,4,64260.06
Urban Planner,Fire Department,29,109726.03
Public Health Nurse,Department of Social Services,23,91942.7
Firefighter,Office of the Mayor,2,63218.59
Police Officer,Department of Recreation,10,73442.42
Urban Planner,Department of Housing,3,71634.13
Urban Planner,Fire Department,25,106625.53
Correctional Officer,Office of the Mayor,26,94123.48
Administrative Officer,Department of Social Services,26,89588.42
Librarian,Environmental Control Board,5,60045.07
HR Specialist,Human Resources,14,80557.64
HR Specialist,Environmental Control Board,29,102217.67
Inspector,IT Department,36,106871.56
Urban Planner,Fire Department,36,118610.47
Community Liaison,Office of the Mayor,36,89646.92
Engineer,Department of Transportation,34,124301.85
Budget Analyst,Planning Department,22,103508.09
Inspector,Public Works,5,65775.77
Social Worker,Department of Housing,3,48625.73
Sanitation Worker,Department of Education,17,63993.23
Social Worker,Human Resources,8,63326.65
Traffic Engineer,Fire Department,28,112707.48
Data Analyst,Baltimore City Courts,12,91580.63
Financial Analyst,Department of Finance,16,104363.29
Traffic Engineer,Health Department,31,111621.51
Sanitation Worker,Health Department,21,67307.12
Firefighter,Department of Aging,3,64125.32
Community Liaison,Health Department,4,55834.84
HR Specialist,Environmental Control Board,36,108985.85
Social Worker,Department of Recreation,12,65634.68
Urban Planner,Environmental Control Board,33,113546.41
IT Specialist,Department of Education,21,113254.02
HR Specialist,Police Department,22,87700.19
Engineer,Department of Aging,2,89382.17
Financial Analyst,Department of Aging,33,115309.97
Correctional Officer,Department of Social Services,31,97791.38
Data Analyst,Baltimore City Courts,20,99323.02
Traffic Engineer,Department of Recreation,20,101206.26
IT Specialist,Health Department,10,88125.42
Data Analyst,Department of Transportation,38,124472.56
Firefighter,Department of Recreation,3,62874.05
Public Health Nurse,Department of Housing,0,67854.86
Administrative Officer,City Council,27,88725.96
Data Analyst,Police Department,23,104308.84
Traffic Engineer,Public Works,34,117941.14
Urban Planner,Baltimore City Courts,12,88827.48
Firefighter,Baltimore City Courts,33,101802.48
Administrative Officer,City Council,10,68335.26
Data Analyst,Fire Department,35,118949.94
Financial Analyst,Department of Social Services,16,98211.85
Librarian,Fire Department,34,91203.06
HR Specialist,Health Department,17,88985.42
IT Specialist,Environmental Control Board,39,127148.52
Financial Analyst,Department of Transportation,21,104665.3
IT Specialist,Office of the Mayor,23,108804.68
Librarian,Human Resources,18,75004.95
Legal Counsel,Department of Housing,36,139760.0
Traffic Engineer,Baltimore City Courts,38,118666.49
HR Specialist,City Council,20,86952.83
Legal Counsel,Fire Department,7,101369.51
Sanitation Worker,Baltimore City Courts,27,79318.06
HR Specialist,Department of Social Services,4,71416.76
Legal Counsel,City Council,16,115088.55
Police Officer,Department of Transportation,36,109325.65
Social Worker,Environmental Control Board,35,101062.06
Sanitation Worker,Department of Recreation,18,71666.67
Police Officer,Baltimore City Courts,26,95774.6
Urban Planner,Planning Department,33,111048.34
IT Specialist,Department of Finance,10,89856.36
Project Manager,Public Works,11,102414.88
Inspector,Department of Finance,20,86487.39
Correctional Officer,Department of Transportation,10,69918.0
IT Specialist,Police Department,38,123631.41
Engineer,Public Works,27,115201.32
Engineer,Baltimore City Courts,4,89591.27
Police Officer,Fire Department,16,86869.96
Budget Analyst,Department of Transportation,19,99573.06
Administrative Officer,Environmental Control Board,11,67582.69
Social Worker,Department of Recreation,5,60865.77
Sanitation Worker,Department of Aging,16,63558.17
Social Worker,Baltimore City Courts,18,82417.58
Sanitation Worker,Department of Recreation,25,73796.99
IT Specialist,Planning Department,31,120714.99
Urban Planner,IT Department,5,79903.99
Firefighter,Department of Social Services,35,102201.9
Police Officer,Environmental Control Board,37,106069.99
Librarian,IT Department,10,71230.15
Budget Analyst,Baltimore City Courts,32,111064.47
Engineer,Department of Social Services,23,112663.84
Urban Planner,Department of Aging,22,104060.2
IT Specialist,Department of Housing,14,94847.5
Engineer,Department of Transportation,26,116205.54
Police Officer,Department of Recreation,10,77169.01
Engineer,Department of Transportation,16,102663.56
Budget Analyst,Department of Social Services,13,91198.91
HR Specialist,Baltimore City Courts,26,95544.04
Financial Analyst,Department of Social Services,17,97740.6
Engineer,Department of Housing,27,116495.51
Police Officer,Environmental Control Board,3,69347.54
Budget Analyst,Department of Recreation,6,76519.52
Financial Analyst,Health Department,34,120356.22
Social Worker,Human Resources,8,62961.22
Sanitation Worker,Public Works,7,60063.71
HR Specialist,Planning Department,16,82738.53
HR Specialist,Fire Department,16,88487.35
Administrative Officer,IT Department,32,91555.15
Legal Counsel,City Council,31,133175.04
Inspector,Office of the Mayor,7,67061.27
Social Worker,Environmental Control Board,18,78862.25
Correctional Officer,IT Department,37,99045.18
Community Liaison,Department of Aging,2,54628.58
Data Analyst,Department of Aging,4,83141.61
Budget Analyst,Department of Social Services,12,84480.02
Social Worker,Baltimore City Courts,30,90501.34
Legal Counsel,Public Works,15,117601.56
HR Specialist,City Council,31,102613.53
Project Manager,Office of the Mayor,21,113091.82
Data Analyst,Police Department,28,107985.92
Legal Counsel,Public Works,21,121716.21
Social Worker,Human Resources,2,57987.54
Inspector,IT Department,9,72885.06
Firefighter,City Council,20,81613.33
Administrative Officer,Human Resources,15,69483.22
Legal Counsel,Environmental Control Board,11,111640.64
Public Health Nurse,Department of Recreation,1,72194.02
Urban Planner,Department of Social Services,23,104200.2
Urban Planner,Baltimore City Courts,34,112911.94
Community Liaison,Planning Department,29,81857.04
Project Manager,Police Department,29,127773.78
Social Worker,Department of Education,34,98915.13
Police Officer,IT Department,18,83335.04
Police Officer,Department of Aging,7,69561.89
Community Liaison,Police Department,25,79674.22
Legal Counsel,Fire Department,39,139401.95
Sanitation Worker,Police Department,6,52739.47
Engineer,Police Department,29,116045.87
Social Worker,Human Resources,6,60794.7
Public Health Nurse,Office of the Mayor,2,68935.92
IT Specialist,Police Department,0,76713.8
Sanitation Worker,Office of the Mayor,35,90895.18
Budget Analyst,Department of Housing,24,100634.41
Police Officer,Fire Department,36,109654.64
Inspector,Public Works,0,55052.9
Administrative Officer,Department of Housing,14,71829.64
Urban Planner,Department of Social Services,36,124426.91
HR Specialist,Department of Aging,12,78283.18
Sanitation Worker,Baltimore City Courts,39,97274.25
Community Liaison,Fire Department,7,60848.02
Correctional Officer,Department of Education,4,65395.6
Correctional Officer,Department of Recreation,8,68099.99
Community Liaison,Environmental Control Board,0,51698.26
Urban Planner,IT Department,35,119097.04
Social Worker,City Council,34,97706.34
Firefighter,Department of Transportation,1,59847.75
Engineer,Public Works,39,126677.85
Correctional Officer,Human Resources,22,79739.25
Budget Analyst,Public Works,8,80789.52
Correctional Officer,Human Resources,33,99381.78
Correctional Officer,Department of Housing,13,70286.77
Correctional Officer,Human Resources,3,64371.91
Firefighter,Department of Aging,29,95293.17
Firefighter,Department of Recreation,30,96521.73
Budget Analyst,IT Department,37,113891.68
Police Officer,IT Department,10,71345.64
Police Officer,Department of Aging,34,106487.94
Inspector,Baltimore City Courts,7,73538.0
Firefighter,Department of Housing,2,64212.01
Urban Planner,City Council,13,85048.11
Public Health Nurse,Planning Department,12,86741.03
Data Analyst,Health Department,31,110325.61
Project Manager,Public Works,33,125972.9
Correctional Officer,Department of Transportation,18,78884.99
Public Health Nurse,Human Resources,37,114768.53
Budget Analyst,Department of Education,15,86974.01
Community Liaison,Department of Social Services,1,50368.05
Firefighter,City Council,39,110945.49
Public Health Nurse,Department of Aging,16,91756.54
Project Manager,Department of Recreation,33,133354.37
Librarian,Department of Recreation,15,75728.26
Librarian,Office of the Mayor,37,98829.67
Police Officer,Office of the Mayor,1,65549.79
Sanitation Worker,Department of Social Services,1,51777.94
Public Health Nurse,Health Department,25,101400.15
Librarian,Office of the Mayor,12,67919.1
Engineer,IT Department,30,121531.66
Community Liaison,Department of Recreation,33,86863.84
Data Analyst,Department of Aging,38,120515.71
Inspector,Public Works,2,62108.65
Engineer,Department of Aging,7,93846.73
Inspector,Department of Finance,22,84361.68
Community Liaison,Human Resources,13,66870.03
Social Worker,Department of Transportation,26,92442.3
Community Liaison,Department of Education,28,78367.01
Sanitation Worker,Department of Transportation,38,95346.73
Police Officer,Baltimore City Courts,38,110402.08
IT Specialist,Police Department,0,81351.97
Social Worker,Department of Housing,16,72907.86
Traffic Engineer,Department of Recreation,29,110361.82
IT Specialist,Environmental Control Board,12,94788.5
Police Officer,Department of Finance,20,88095.1
